DL,DL_err,Mtot,Mtot_err,Mchirp,Mchirp_err,detType
430.0,-170.0,63.1,-3.0,28.6,-1.5,GW
1060.0,-480.0,35.7,-3.8,15.2,-1.1,GW
440.0,-190.0,20.5,-1.5,8.9,-0.3,GW
960.0,-410.0,49.1,-3.9,21.5,-1.7,GW
320.0,-110.0,17.8,-0.7,7.9,-0.2,GW
2750.0,-1320.0,80.3,-10.2,35.7,-4.7,GW
990.0,-380.0,56.4,-3.7,25.0,-1.6,GW
580.0,-210.0,53.4,-2.4,24.2,-1.1,GW
40.0,-10.0,2.8,,1.186,-0.001,GW
1020.0,-360.0,59.8,-3.8,26.7,-1.7,GW
1850.0,-840.0,65.6,-6.6,29.3,-3.2,GW
1472.9010815756171,-357.8753158161887,,,,,Candidate
812.178744887329,-194.14098253514982,,,,,Candidate
1628.384784412257,-534.6075375270634,,,,,Candidate
156.1439917314773,-41.373357000099794,,,,,Candidate
376.7172912569308,-100.4395515449489,,,,,Candidate
421.1083077868971,-104.5330786728482,,,,,Candidate
227.220932421794,-92.41302972869721,,,,,Candidate
1387.677166387666,-322.1143037557478,,,,,Candidate
1987.0499495426832,-501.2115610864179,,,,,Candidate
2950.003609122326,-1037.8475730592481,,,,,Candidate
3153.537817294121,-790.9889479016568,,,,,Candidate
3931.421378569784,-953.0348689399448,,,,,Candidate
1136.1301827370269,-279.25779573657996,,,,,Candidate
797.3368395815085,-238.4877953139473,,,,,Candidate
925.669817252728,-258.5121354909743,,,,,Candidate
1848.9383223893021,-445.5334849617994,,,,,Candidate
5262.866975000058,-1401.9387461380331,,,,,Candidate
781.4367084533864,-211.2568212785457,,,,,Candidate
226.628613378479,-164.9344402048559,,,,,Candidate
868.5189034218467,-282.77396141623404,,,,,Candidate
2838.577861545813,-655.2392921592201,,,,,Candidate
873.7816992405759,-170.81277414443267,,,,,Candidate
267.4016362946634,-51.5854107533452,,,,,Candidate
1802.532924366388,-422.8839910074309,,,,,Candidate
1528.3293572833231,-387.32946959367735,,,,,Candidate
240.868603537291,-78.64818958993851,,,,,Candidate
631.5121977795957,-185.6930327332634,,,,,Candidate
229.5165762024707,-88.07406608291662,,,,,Candidate
1583.534027107233,-380.7724421452377,,,,,Candidate
438.08596336208745,-132.9491079196519,,,,,Candidate
513.9108837536106,-131.81743375665442,,,,,Candidate
